date,headline,paper,headline_prep,cluster_label,tsne_x,tsne_y,Cluster Name
2023-09-07 00:00:00,Freie Wähler BaWü: Imageschaden durch Aiwanger?,tagesschau,Freie Wähler BaWü Imageschaden Aiwanger,26,-20.493458,9.113449,Leaflet Affair
2023-09-07 00:00:00,Bundesverwaltungsgericht : Anlasslose Vorratsdatenspeicherung ist rechtswidrig,tagesschau,Bundesverwaltungsgericht Anlasslose Vorratsdatenspeicherung rechtswidrig,19,-23.375679,-1.8555967,Legal matters
2023-09-07 00:00:00,Innenausschuss zu Schönbohm-Absetzung: Faeser fehlt erneut - Union übt Kritik,tagesschau,Innenausschuss Schönbohm Absetzung Faeser fehlt erneut Union übt Kritik,45,-5.392294,17.742073,miscellaneous
2023-09-07 00:00:00,"Sparmaßnahmen im Bildungsbereich: ""Eine absolut falsche Entscheidung""",tagesschau,Sparmaßnahmen Bildungsbereich absolut falsche Entscheidung,44,31.473452,-19.938667,Tax
2023-09-07 00:00:00,Zentralrat der Juden: Aiwanger und Schuster wollen sich treffen,tagesschau,Zentralrat Juden Aiwanger Schuster treffen,26,-14.826737,15.35526,Leaflet Affair
2023-09-07 00:00:00,Flugblatt-Affäre um Aiwanger: Schweigen und Kritik in Bayerns Landtag,tagesschau,Flugblatt Affäre Aiwanger Schweigen Kritik Bayerns Landtag,18,90.99706,17.674652,Election campaign Bavaria
2023-09-07 00:00:00,Beratungen in Brüssel: Länderchefs geschlossen für Industriestrompreis,tagesschau,Beratungen Brüssel Länderchefs geschlossen Industriestrompreis,15,19.780582,38.821804,EU
2023-09-07 00:00:00,Haushaltsdebatte im Bundestag: Lauterbach verteidigt Reformen und geschrumpften Etat,tagesschau,Haushaltsdebatte Bundestag Lauterbach verteidigt Reformen geschrumpften Etat,29,23.234194,73.94162,Health and medicine
2023-09-07 00:00:00,"Scholz' ""Deutschland-Pakt"": Zustimmung bei Arbeitgebern und Ländern - Merz skeptisch",tagesschau,Scholz Deutschland Pakt Zustimmung Arbeitgebern Ländern Merz skeptisch,32,4.06913,31.380693,Scholz decision making
2023-09-07 00:00:00,Pläne Lauterbachs: Warum eine Notfall-Reform überfällig ist,tagesschau,Pläne Lauterbachs Warum Notfall Reform überfällig,29,23.49379,74.29725,Health and medicine
2023-09-07 00:00:00,Steuerskandal um Warburg-Bank : Union treibt Scholz mit Klage vor sich her,tagesschau,Steuerskandal Warburg Bank Union treibt Scholz Klage her,32,3.74108,22.630754,Scholz decision making
2023-09-08 00:00:00,Thüringen: Immunität Höckes zum siebten Mal aufgehoben,tagesschau,Thüringen Immunität Höckes siebten Mal aufgehoben,34,-6.8390455,-0.825088,miscellaneous
